Category,RMSE,MAPE (%),Within 10% (%),RÂ²,CV RMSE,Quality
Home Entertainment,206.95838822979488,1.5836783178584626,98.27586206896551,0.99943264700273,0.08209415384148654,good
Kitchen Appliances,101.0377592929352,1.5898356057353231,99.42196531791907,0.9993550202902846,0.149022939341436,good
Home Improvement,37.54960679781776,1.5947501306492207,99.13232104121475,0.9996971920394352,0.044213475719754626,good
Mobile Accessories,36.26789950762718,1.758859464460735,98.17073170731707,0.9992338852569902,0.05086585224859227,good
Computers,99.75008238012316,1.9664445057417084,97.91666666666666,0.9990250510146742,0.07876740662361985,good
Audio,260.94768446216705,2.4556299907766,96.96969696969697,0.9968680577392499,0.060523091603383906,good
Cameras,133.08279771677667,3.265644836872982,96.95121951219512,0.9941369926752963,0.07438887593430123,good
Home Office,150.03416459342117,5.336456403696073,94.50980392156862,0.9986509895380647,0.04970630733895371,good
Climate Control,207.63823108224923,5.841994053864514,97.28260869565217,0.9924992701857309,0.08953741455487668,good
Smartwatches,121.39847566774743,7.138024486923293,98.4126984126984,0.9851436853584186,0.036601718210732034,good
